"","EW_2020","EW_2021","EW_2022"
"BTC",0.0526,0.0526,0.0526
"ETH",0.0526,0.0526,0.0526
"BNB",0.0526,0.0526,0.0526
"XRP",0.0526,0.0526,0.0526
"ADA",0.0526,0.0526,0.0526
"DOGE",0.0526,0.0526,0.0526
"TRX",0.0526,0.0526,0.0526
"LTC",0.0526,0.0526,0.0526
"BTCH",0.0526,0.0526,0.0526
"LINK",0.0526,0.0526,0.0526
"XLM",0.0526,0.0526,0.0526
"ETC",0.0526,0.0526,0.0526
"XRM",0.0526,0.0526,0.0526
"FIL",0.0526,0.0526,0.0526
"MANA",0.0526,0.0526,0.0526
"EOS",0.0526,0.0526,0.0526
"KCS",0.0526,0.0526,0.0526
"ZEC",0.0526,0.0526,0.0526
"WAVES",0.0526,0.0526,0.0526
