"","Ticker","DeltaH_2018_2019","DeltaH_2019_2020","DeltaH_2020_2021"
"1","BTC",0.4207,0.3894,0.3435
"2","ETH",0.2154,0.2387,0.2837
"3","BNB",0.3998,0.2149,0.1233
"4","XRP",0.3246,0.4532,0.4341
"5","ADA",0.0844,0.119,0.2992
"6","DOGE",0.368,0.5857,0.6941
"7","TRX",0.4283,0.2687,0.2776
"8","LTC",0.2032,0.2104,0.2963
"9","BTCH",0.2179,0.1865,0.2309
"10","LINK",0.3015,0.3336,0.2904
"11","XLM",0.2528,0.3253,0.3906
"12","ETC",0.293,0.0644,0.2034
"13","XRM",0.2291,0.1744,0.1773
"14","FIL",0.0918,0.5322,0.4138
"15","MANA",0.2359,0.1621,0.4911
"16","EOS",0.1702,0.218,0.3184
"17","KCS",0.438,0.2827,0.4165
"18","ZEC",0.2277,0.1218,0.2052
"19","WAVES",0.2215,0.2094,0.4508
